"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2011","Niederlande","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","3.912,00",""
"2011","Österreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.976,53",""
"2011","Polen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.500,94",""
"2011","Portugal","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.519,11",""
"2011","Rumänien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.988,90",""
"2011","Slowenien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","462,30",""
"2011","Slowakei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","463,36",""
"2011","Finnland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","902,68",""
"2011","Schweden","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.449,73",""
"2011","Vereinigtes Königreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","9.675,00",""
"2011","Island","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","73,60",""
"2011","Schweiz","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2011","Montenegro","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2011","Nordmazedonien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2011","Albanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2011","Serbien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","937,00",""
"2011","Türkei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2011","Bosnien und Herzegowina","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","455,00","e"
"2011","Kosovo (gemäß der Resolution 1244/99 des Sicherheitsrates der Vereinten Nationen)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2012","Europäische Union - 28 Länder","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","87.296,95",""
